[rosmaster.master][INFO] 2019-03-18 14:55:50,997: +SUB [/setThreshold] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:37453/
[rosmaster.master][INFO] 2019-03-18 14:55:51,016: +SUB [/tf_static] /tf_echo_00_06_66_E7_8E_BD http://chiliPC:36361/
[rosmaster.master][INFO] 2019-03-18 14:55:51,019: +SUB [/tf_static] /tf_echo_00_06_66_E7_8A_D6 http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:55:51,020: +SUB [/tf_static] /tf_echo_00_06_66_D2_CF_7B http://chiliPC:35661/
[rosmaster.master][INFO] 2019-03-18 14:55:51,028: +SUB [/sensor_node_00_06_66_E7_8E_BD/detectedRobots] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:34539/
[rosmaster.master][INFO] 2019-03-18 14:55:51,029: +SUB [/cellulo_node_00_06_66_D2_CF_7B/setVisualEffect] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,030: +SUB [/cellulo_node_00_06_66_E7_8A_D6/setVisualEffect] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,031: +SUB [/cellulo_node_00_06_66_E7_8E_BD/setVisualEffect] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,032: +SUB [/sensor_node_00_06_66_E7_8A_D6/detectedRobots] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:37089/
[rosmaster.master][INFO] 2019-03-18 14:55:51,034: +SUB [/sensor_node_00_06_66_D2_CF_7B/detectedRobots] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:43551/
[rosmaster.master][INFO] 2019-03-18 14:55:51,041: +SUB [/tf] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:44509/
[rosmaster.master][INFO] 2019-03-18 14:55:51,042: +SUB [/tf] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:36417/
[rosmaster.master][INFO] 2019-03-18 14:55:51,046: +SUB [/tf] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:37453/
[rosmaster.master][INFO] 2019-03-18 14:55:51,066: +SUB [/sensor_node_00_06_66_E7_8E_BD/detectedObstacles] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:34539/
[rosmaster.master][INFO] 2019-03-18 14:55:51,067: +SUB [/cellulo_node_00_06_66_D2_CF_7B/setLEDResponseMode] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,069: +SUB [/cellulo_node_00_06_66_E7_8A_D6/setLEDResponseMode] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,070: +SUB [/cellulo_node_00_06_66_E7_8E_BD/setLEDResponseMode] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,070: +SUB [/sensor_node_00_06_66_E7_8A_D6/detectedObstacles] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:37089/
[rosmaster.master][INFO] 2019-03-18 14:55:51,073: +SUB [/sensor_node_00_06_66_D2_CF_7B/detectedObstacles] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:43551/
[rosmaster.master][INFO] 2019-03-18 14:55:51,080: +SUB [/tf_static] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:44509/
[rosmaster.master][INFO] 2019-03-18 14:55:51,081: +SUB [/tf_static] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:36417/
[rosmaster.master][INFO] 2019-03-18 14:55:51,085: +SUB [/tf_static] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:37453/
[rosmaster.master][INFO] 2019-03-18 14:55:51,088: +PUB [/sensor_node_00_06_66_E7_8A_D6/detectedRobots] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:44509/
[rosmaster.master][INFO] 2019-03-18 14:55:51,089: +PUB [/sensor_node_00_06_66_E7_8E_BD/detectedRobots] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:36417/
[rosmaster.master][INFO] 2019-03-18 14:55:51,092: +PUB [/sensor_node_00_06_66_D2_CF_7B/detectedRobots] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:37453/
[rosmaster.master][INFO] 2019-03-18 14:55:51,094: +PUB [/sensor_node_00_06_66_E7_8A_D6/detectedObstacles] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:44509/
[rosmaster.master][INFO] 2019-03-18 14:55:51,095: +PUB [/sensor_node_00_06_66_E7_8E_BD/detectedObstacles] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:36417/
[rosmaster.master][INFO] 2019-03-18 14:55:51,098: +PUB [/sensor_node_00_06_66_D2_CF_7B/detectedObstacles] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:37453/
[rosmaster.master][INFO] 2019-03-18 14:55:51,104: +SUB [/cellulo_node_00_06_66_E7_8E_BD/velocity] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:34539/
[rosmaster.master][INFO] 2019-03-18 14:55:51,104: +SUB [/cellulo_node_00_06_66_D2_CF_7B/setGoalVelocity] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,105: +SUB [/cellulo_node_00_06_66_E7_8A_D6/setGoalVelocity] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,106: +SUB [/cellulo_node_00_06_66_E7_8E_BD/setGoalVelocity] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,107: +SUB [/cellulo_node_00_06_66_E7_8A_D6/velocity] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:37089/
[rosmaster.master][INFO] 2019-03-18 14:55:51,107: +SUB [/cellulo_node_00_06_66_D2_CF_7B/velocity] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:43551/
[rosmaster.master][INFO] 2019-03-18 14:55:51,116: +SUB [/cellulo_node_00_06_66_D2_CF_7B/reset] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,116: +SUB [/cellulo_node_00_06_66_E7_8A_D6/reset] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,117: +SUB [/cellulo_node_00_06_66_E7_8E_BD/reset] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,125: +SUB [/cellulo_node_00_06_66_D2_CF_7B/clearTracking] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,126: +SUB [/cellulo_node_00_06_66_E7_8A_D6/clearTracking] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
