[rosmaster.master][INFO] 2019-03-18 14:23:22,152: +SUB [/tf_static] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:43265/
[rosmaster.master][INFO] 2019-03-18 14:23:22,152: +SUB [/tf_static] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:42481/
[rosmaster.master][INFO] 2019-03-18 14:23:22,154: +PUB [/sensor_node_00_06_66_D2_CF_7B/detectedRobots] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:39497/
[rosmaster.master][INFO] 2019-03-18 14:23:22,155: +PUB [/sensor_node_00_06_66_E7_8E_BD/detectedRobots] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:43265/
[rosmaster.master][INFO] 2019-03-18 14:23:22,156: +PUB [/sensor_node_00_06_66_E7_8A_D6/detectedRobots] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:42481/
[rosmaster.master][INFO] 2019-03-18 14:23:22,157: +PUB [/sensor_node_00_06_66_D2_CF_7B/detectedObstacles] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:39497/
[rosmaster.master][INFO] 2019-03-18 14:23:22,159: +PUB [/sensor_node_00_06_66_E7_8E_BD/detectedObstacles] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:43265/
[rosmaster.master][INFO] 2019-03-18 14:23:22,160: +PUB [/sensor_node_00_06_66_E7_8A_D6/detectedObstacles] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:42481/
[rosmaster.master][INFO] 2019-03-18 14:23:22,163: +SUB [/cellulo_node_00_06_66_E7_8A_D6/velocity] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:41979/
[rosmaster.master][INFO] 2019-03-18 14:23:22,164: +SUB [/cellulo_node_00_06_66_E7_8E_BD/velocity] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:40679/
[rosmaster.master][INFO] 2019-03-18 14:23:22,164: +SUB [/cellulo_node_00_06_66_D2_CF_7B/velocity] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:23:22,169: publisherUpdate[/sensor_node_00_06_66_D2_CF_7B/detectedRobots] -> http://chiliPC:33115/ ['http://chiliPC:39497/']
